Korean,English
이다,to be
에,to
고,go
다,all
것,thing
하다,do
도,do
게,crab
들,field
그,that
있다,have
에서,at
지,ji
있다,have
되다,to be
가다,go
기,energy
나,me
이,this
없다,none
수,number
보다,see
않다,not
말,word
사람,Person
하다,do
한,one
는데,To be
오다,come
구,nine
우리,we
아니다,not
다,all
겠,Yes
때,at the time
만,only
그,that
그렇다,Yes
던,Dungeon
같다,same
주다,give
그러다,Then
다는,All
안,not
아,ah
보다,see
그것,that
지,ji
그런,then
또,In addition
일,Work
년,year
알다,know
에게,to
그래,okay
내,my
지다,lose
다,all
까지,Until
집,Home
대하다,treat
이렇다,Like this
등,etc.
가지다,have
나오다,come out
살다,live
좋다,good night
지만,but
어,uh
씨,Seed
두,two
다고,All
받다,receive
먹다,To eat
말하다,say
뭐,What
이,this
때문,because
잘,well
다가,Approach
그래서,therefore
데,place
모르다,I do not know
더,more
크다,Big
좀,A little
이런,this
뭐,What
주다,give
위하다,for
소리,sound
일,Work
번,th
나다,It's me
너,you
이것,this
많다,many
갖다,have
들다,Hold
그러나,But
어떻다,how
저,I
생각하다,Think
죽다,die
여기,here
못,pond
생각,think
문제,Problem
놓다,put
죠,Yeah
듣다,listen
앞,front
자기,self
고,go
얘기,story
속,inside
인제,Inje
부터,from
못하다,Can not do it
어떤,which
저,I
중,middle
많이,A lot of
처럼,like
왜,why
돈,money
명,number of people
여자,Woman
지금,now
어디,where
만들다,to make
이제,now
뒤,back
들어가다,enter
개,dog
보다,see
그냥,just
다시,again
그리고,and
자,ruler
오다,come
원,one
거기,there
거든,That
따르다,follow
말다,roll
쓰다,write
백,hundred
전,I'm
월,month
나가다,go out
날,me
참,Oh yeah
근데,by the way
누구,who
경우,case
무슨,what
예,Yes
아이,Child
다음,next
놈,bloke
하나,one
다른,Different
싶다,want
눈,Eye
내다,Pay
잡다,Catch
앉다,Sit
들다,Hold
두,two
한테,to
막,membrane
님,sir
손,hand
단,only
안,not
버리다,throw away
무엇,what
시간,hour
보이다,show
물,water
정도,degree
만,only
한국,korea
자신,Myself
천,cloth
가다,go
이거,this
음,Well
응,yes
그런데,By the way
어머니,mother
사회,Social
치다,hit
만나다,meet
어느,which
찾다,find
놓다,put
사다,buy
서다,stand
길,road
그때,at that time
쓰다,write
몇,some
도록,so that
지나다,pass by
네,yes
같이,together
가지,Branch
얼굴,face
아버지,father
서울,Seoul
위,stomach
일본,Japan
마음,mind
없이,without
하나,one
오늘,today
부르다,calling
애,baby
아주,very
나라,country
는지,Or
지금,now
그녀,she
더니,By
미국,USA
너무,Too
요,yo. this
사실,actually
삼,three
남자,man
자리,Seat
느냐,Yes
방,room
시,city
짓다,build
쪽,side
가지다,have
점,dot
아니,no
곳,place
몸,body
통하다,pass
그거,it
모두,all
후,after
들어오다,come in
묻다,to ask
두다,put
정부,goverment
는가,Is it
아들,son
제,My
동안,During
터,place
그러니까,So
거나,Or
여러,Various
분,minute
보내다,send
함께,together
시작하다,start
친구,friend
바로,Right away
술,alcohol
가장,most
처음,first
무녀,shaman
모든,every
는데,To be
이야기,story
선생님,Teacher
께,to
이름,name
문,door
밤,night
세,count
뿐,only
말다,roll
관계,relation
세계,world
머리,head
이상,More than
내리다,get off
당신,you
이번,this time
타다,ride
에다,gouge
아직,yet
경제,economy
하고,do
인간,human
구,nine
산,mountain
학교,school
십,ten
거,thing
그럼,then
사이,between
줄,line
생기다,to happen
자다,sleep
보이다,show
느끼다,feel
정말,really
뜻,meaning
딱,Perfect
말씀,words
다니다,to go
어렵다,difficult
떨어지다,drop
일어나다,Rise
자,ruler
세상,world
의하다,be due to
그러면,then
글,writing
밖,Outside
교육,education
맞다,right
옛날,A long ago
열다,open
밖에,outside
모습,figure
적,enemy
요,yo. this
밥,rice
내다,Pay
구서,Old book
대통령,president
다르다,different
웃다,laugh
에,to
입다,put on
살,fat
불,fire
지역,region
엄마,Mom
넣다,put in
중국,China
남다,left
남,other
북한,North Korea
입,mouth
딸,daughter
이러하다,Do this
둘,two
나타나다,to appear
내용,Contents
책,book
시대,era
얻다,get
열,Heat
시,city
해,sun
생활,life
니,you
문화,culture
나무,tree
학생,student
기자,reporter
억,100 million
방법,Way
국민,nation
모양,shape
중요하다,It is important
밝히다,clarify
옷,dress
야,hey
얘기하다,talk
먼저,first
조사,inspection
오르다,climb
울다,cry
가운데,middle
놀다,play
특히,Especially
구나,Clever
힘,strength
예,Yes
저녁,dinner
아무,nothing
운동,Exercise
차,car
대학,university
채,stick
땅,earth
분,minute
팔다,sell
지내다,stay
이미,already
국가,country
읽다,To read
조사자,investigator
다면,Plane
밑,bottom
물론,of course
및,and
꼭,please
의미,meaning
나다,It's me
드리다,give
못하다,Can not do it
요,yo. this
일,Work
끝,End
얼마나,how much
듯,As if
돌아가다,return
정치,politics
새롭다,new
마다,every
부분,part
높다,high
비,rain
상황,situation
하루,day
이러다,Like this
전화,telephone
떠나다,leave
과정,process
지,ji
오,Five
사랑,love
교수,professor
자,ruler
옆,side
기업,Enterprise
께서,from
넘다,exceed
대,big
거의,almost
이유,reason
역시,Also
란/이란,Ran/Iran
올라가다,Go up
혼자,alone
간,liver
올리다,raise
아침,morning
연구,Research
달,moon
이제,now
시장,market
남편,husband
사건,Incident
게,crab
정신,mental
기다리다,wait
필요하다,need
해당하다,Correspond
회사,company
얼마,how much
선생,teacher
이,this
끝나다,end
돌다,spin
계속,continue
멀다,far
당시,at that time
영화,movie
방언,dialect
자식,child
시키다,order
쉽다,easy
작다,small
바,bar
대로,Road
웃음,laugh
결과,result
의원,lawmaker
또는,or
돌아오다,Come back
떡,rice cake
믿다,trust
정보,Information
고개,head
죽이다,To kill
상태,situation
조선,Shipbuilding
곧,soon
결국,finally
또한,In addition
나이,age
하지만,However
마을,Town
하늘,sky
신,god
동네,town
형,brother
나가다,go out
안되다,Do not
지방,Fat
배우다,learn
창,window
발,foot
나서다,launch
작품,Work
마시다,drink
즉,In other words
세우다,set up
그대로,as it is
대로,Road
할머니,grandmother
배,ship
걸리다,hang
양반,Yangban
정책,Policy
진짜,really
듯,As if
새,bird
필요,need
이르다,early
부,wealth
따라서,therefore
역사,history
어리다,young
고서,Ancient book
그리다다,Draw
길다,long
여성,female
아래,under
굉장히,greatly
대다,put
나누다,divide
더욱,More
아내,wife
문학,literature
군,army
낳다,give birth
꿈,dream
기술,technology
두다,put
삶,Life
듯하다,look like
공부,study
자네,you
목,neck
그만,stop
젊다,young
그저,just
걸다,bet
바라보다,Look at
바람,wind
자체,itself
이루어지다,come true
달다,Sweet
관하다,Tear
오빠,brother
민족,people
걷다,To Walk
병,party
데리다,be accompanied
좋아하다,like
미,mi
열리다,open
언니,sister
최근,recent
향하다,lean towards
이,this
계획,plan
얼,spirit
과거,past
잇다,connect
싫다,hate
풀다,solve
식,ceremony
각,each
버리다,throw away
번째,th
어쩌다,Anywhere
반,half
관심,Attention
달,moon
돌리다,turn
대상,Target
아마,maybe
빨리,hurry
쪼다,pick
사용하다,use
당하다,encounter
머,what
요즘,Nowadays
저희,we
꽃,Flower
주인,host
언어,language
입장,Entrance
힘들다,it's tough
활동,activity
사진,Photo
더라도,Even
지키다,protect
놀라다,surprised
바꾸다,change
구조,rescue
부모,parents
그리하다,Go
끌다,drag
목소리,voice
세,count
댕기다,Dagger
만큼,as much as
아까,just now
현재,today
이상하다,weird
사업,business
이래,since
현실,reality
이놈,this guy
붙다,pass
그러하다,It is true
법,law
표정,expression
오히려,rather
바라다,Hope
삼다,make
자,ruler
환경,Environment
우선,priority
신문,newspaper
귀,ear
여러분,everyone
자꾸,Repeatedly
대,big
자료,data
아프다,sick
군,army
나중,later
이루다,accomplished
모시다,wait on
첫,First
잔,glass
개혁,Reform
음악,music
돌,rock
사장,CEO
들리다,hear
조금,little
모으다,gather
갑자기,suddenly
당,Party
장관,Minister
그리,picture
빠지다,fall in
괜찮다,Okay
소,cow
전혀,Not at all
걔,Herb
전쟁,War
가족,family
맞추다,set
이십,Twenty
사실,actually
강,river
차,car
잘하다,Do well
깊다,deep
중심,center
바다,ocean
다구,Multi
더라,Der
피,blood
쌀,rice
빼다,remove
듯이,As if
마지막,last
같이,together
소설,novel
내려오다,go down
다리,Leg
눈물,tear
내일,tomorrow
제도,policy
그림,painting
호,like
대표,representative
영감,Inspiration
일단,First
가능하다,It is possible
따다,Pick
담배,tobacco
죄,crime
만하다,be worth
든,All
대부분,most
어른,Adult
벌써,already
전하다,impart
지다,lose
다섯,five
손님,Guest
집안,house management
발전,Development
아무리,no matter how
우리나라,our country
기분,mood
의식,Consciousness
거든,That
저기,there
뿐,only
느낌,feeling
회장,Chairman
팔,eight
순간,Moment
전체,all
맡다,take on
모이다,gather
계시다,be there
어서,hurry
선,line
일부,part
가만히,Still
인물,Character
참,Oh yeah
사,buy
네,yes
흐르다,flow
거리,distance
내,my
배,ship
눕다,lay down
동생,Brother
에다가,To
선거,election
만,only
단계,step
국제,International
곤,Gon
맞다,right
국내,domestic
걱정,worry
회의,meeting
가르치다,teach
가능성,Possibility
원래,usually
리,lee
기관,Agency
새끼,young
년대,In the year
대신,instead
병원,hospital
관련,related
현상,phenomenon
니깐,Nea
들어서다,Enter
이해하다,Understand
대화,Conversation
성격,Character
개발,Development
단체,group
측,side
과,class
통일,unity
적다,little
역할,role
사내,man
춤,Dance
산업,industry
찍다,hew
무섭다,scary
그날,that day
잠시,for awhile
나쁘다,bad
잃다,lose
능력,ability
차이,difference
체제,System
살리다,save
학년,grade
직접,directly
기능,function
형태,shape
장,page
이용하다,use
매우,very
코,nose
제일,most
늘,always
짜다,salty
별로,not really
방향,direction
않다,not
벗다,take off
영향,effect
불다,blow
행동,behavior
육,six
벌다,Earn
분위기,atmosphere
시민,citizen
꺼내다,take out
가깝다,close
어찌,For some reason
컴퓨터,computer
옮기다,move
칼,knife
과학,science
제대로,properly
항상,always
도시,city
마찬가지,same here
논,rice paddy
담다,Put
금,gold
세기,century
국회,Congress
경찰,police
질,quality
수준,level
짓,act
편지,letter
잖아,No way
수,number
방식,method
음식,food
들이다,admit
아름답다,beautiful
절,I
행위,Act
삼십,thirty
개인,individual
조금,little
뜨다,to rise
네,yes
약,approximately
전부,all
주장하다,Claim
동,dong
잊다,forget
쉬다,rest
구하다,save
대회,Competition
던지다,Throw
시기,period
마치,Like
지나가다,Pass by
자면,Sleep
저,I
은행,Bank
금융,finance
혹은,or
심하다,Severe
표현,expression
애기,Baby
다가,Approach
대다,put
기,energy
시절,days
정하다,decide
오래,long time
싸다,cheap
아저씨,mister
최고,best
일으키다,Raise
자유,freedom
자연,nature
얘,Daunting
늦다,late
상,award
만약,what if
알려지다,known
칠,seven
일하다,to work
내려가다,go down
때리다,hit
시험,exam
가치,value
값,value
오후,afternoon
방송,broadcast
키,key
변하다,change
결혼,marriage
맛,taste
설명하다,Explicate
차다,cold
장사,business
기회,chance
모두,all
할아버지,grandfather
배,ship
듯이,As if
팀,team
동시,The same time
물건,thing
분야,Field
개념,concept
차례,order
비하다,Compare
어찌하다,What do you do
개,dog
구체적,detailed
이날,On this day
집단,group
떨다,shiver
언제,when
지니다,carry
비다,be empty
고기,meat
회,episode
책임,responsibility
고향,hometown
가정,home
피하다,avoid
고자,Highly
비슷하다,similar
이때,At this time
외국,foreign country
효과,effect
주,main
외,except
작가,Writer
넘어가다,skip
안다,know
약,approximately
상당히,Pretty
여기다,It's here
움직이다,Move
장군,General
환자,patient
하구,outfall
한참,long time
위원회,Committee
보통,usually
벌이다,Earn
새,bird
태도,attitude
드리다,give
추다,dance
죽음,death
짐,load
투자,investment
기간,period
점,dot
아이구,Oops
지다,lose
아무,nothing
형제,sibling
아파트,Apartment
주로,mostly
영어,english
전,I'm
목적,purpose
아빠,Dad
노력,effort
의견,opinion
생명,life
ㅂ시오,ㅂ Shio
빠르다,fast
말씀하다,Spoke
그놈,Gnome
검찰,Prosecution
스스로,myself
며칠,few days
지르다,kick
쳐다보다,To look at
내놓다,put out
기억,memory
완전히,completely
예술,art
묵다,lodge
형사,detective
조차,even
몰다,drive
으,eww
호랑이,tiger
도움,help
사라지다,Disappear
달다,Sweet
이전,before
훨씬,more
차리다,Set up
의사,doctor
재산,property
주장,opinion
고치다,Fix
뽑다,select
그리구,And
밭,field
사상,thought
약간,slightly
과연,indeed
짝,match
조건,Condition
요,yo. this
스님,monk
굿,good
가리키다,point out
감정,emotion
골,goal
팔,eight
인생,life
준비,Ready
존재,existence
올해,this year
마련하다,prepare
바뀌다,change
마당,yard
싸우다,fight
자금,funds
초,candle
다만,but
회담,Talks
지난해,Last year
남,other
일반,Normal
머,what
옳다,right
관리,management
공장,factory
지원,support
질문,Questions
이론,theory
줄,line
개월,month
신경,nerve
너희,you
보다,see
처녀,Virgin
인하다,Take on
교회,church
요새,these days
숨,breath
대,big
핵,nucleus
늙다,old
층,floor
강조하다,Emphasize
기준,standard
시작되다,Start
다양하다,Varies
일곱,seven
경험,experience
교사,teacher
언론,Press
사회적,social
봄,spring
나타내다,Express
주변,around
셈,count
낮다,low
정치적,Political
원하다,Want
참다,suppress
이해,understanding
부리다,play
주제,topic
강하다,strong
여인,woman
돕다,help
아이고,Gosh
대답,answer
아기,baby
자는,sleeping
세력,Influence
빠지다,fall in
감독,director
오십,fifty
올라오다,Climb up
이곳,this place
청년,youth
러시아,russia
프로그램,program
박사,doctor
대문,main door
주,main
남기다,leave
평가,evaluation
업체,company
열심히,hard
후보,candidate
섬,island
여름,Summer
뜨다,to rise
생산,Produce
구,nine
공부하다,study
설명,Explanation
반드시,certainly
전국,Nationwide
어린이,children
차원,Dimension
공동,public
받아들이다,accept
찾아가다,to go look for
노동,labor
사고,accident
끊다,Quit
부자,Wealthy
공간,space
편,side
빛,light
터지다,To explode
떼다,cut
아이,Child
자동차,car
냥,Nymph
확인하다,Confirm
키우다,grow
드러나다,emerge
분명하다,Obvious
반대,the opposite
자주,often
현재,today
벽,wall
뭣,Sake
태어나다,bear
벗어나다,Get out
종,bell
매,hawk
밝다,bright
겪다,experience
이기다,win
새로,New
거치다,pass through
한편,Meanwhile
잠깐,for a moment
장,page
위원,commissioner
갖추다,possess
틀리다,wrong
넓다,wide
녀석,guy
계속하다,Continue
쥐다,hold
주민,citizen
겨울,winter
딴,different
여섯,six
펴다,Spread
쌓다,stack
영국,uk
독일,Germany
달리다,run
양,sheep
알리다,inform
수업,class
자고,Sleep
사태,situation
석,three
흔들다,shake
마치다,finish
대답하다,Answer
냄새,smell
둘째,second
원인,cause
광고,advertisement
자라다,grow
거,thing
오늘날,Today
든지,Or
인사,Greetings
어깨,shoulder
형님,older brother
정권,power
사정,circumstances
낮,afternoon
찾아오다,come to
저거,that
중간,middle
프랑스,france
여전히,still
다루다,treat
분명히,clearly
법,law
달리,Different
별,star
수사,Investigation
실제로,in reality
위,stomach
놓이다,go
한번,once
가격,price
새벽,dawn
피다,Blossom
결정,decision
현,hyeon
매다,Tie
낫다,better
부산,Busan
그동안,Meantime
백만,million
허리,waist
흔히,Often
집다,nip
쓰이다,write
끼다,Put on
유럽,Europe
당장,right now
선수,player
여,female
건물,building
짧다,short
살,fat
증인,witness
점점,Gradually
잘못,wrong
중앙,center
바쁘다,busy
똑같다,same
전통,tradition
화,fury
경기,game
미리,already
건설,erection
규모,Scale
냐면,Naive
위기,Danger
발표하다,Announce
그룹,group
인식,recognize
알아보다,Inquire
시설,facility
차지하다,Occupy
얼른,hurry
소식,News
덕,virtue
각각,each
지식,knowledge
혹시,Perhaps
재미있다,It is interesting
남북,North -south
혁명,revolution
앞서다,precede
고만,Highman
상대,opponent
글쎄,Well
형식,form
대책,Measures
결코,never
미치다,crazy
권,volume
현장,site
언제나,always
누르다,Press down
아부지,Abuji
조,article
목표,target
흘리다,spill
맨,Man
출신,Native
떠오르다,fly
위원장,Chairman
종이,paper
며느리,daughter-in-law
멈추다,Stop
귀신,ghost
멀리,far
단,only
꼴,form
불구하다,Despite
버스,Bus
권력,authority
나머지,Remainder
에이,a
자세,posture
심다,plant
도로,road
희다,Whiten
다고,All
이어지다,be connected
살펴보다,Look at
노동자,worker
주위,around
방안,measures
부부,married couple
일어서다,get up
해,sun
피우다,smoke
말,word
미안하다,sorry
북,north
신랑,groom
분석,analysis
넘기다,to pass over
알,egg
쏘다,shot
바위,rock
기록,record
쫓다,run
가져오다,Bring
그곳,there
눈치,sense
실제,real
닦다,To Wipe
미치다,crazy
하나님,father
작년,last year
그릇,Bowl
치료,cure
기사,Article
세월,time
자손,descendants
취하다,get drunk
따로,seperately
식구,family
싣다,load
기르다,cultivate
준비하다,Prepare
시선,Sight
따지다,Take up
비롯하다,From
협상,Negotiation
던지,Throw
살피다,watch
행사,event
꺼,turn off
제품,product
시인,poet
무대,stage
아홉,nine
행정,administration
물다,bite
잡히다,be caught
지마는,Jima
경영,management
셋,three
씻다,wash
오,Five
지구,earth
저것,that
맞다,right
인정하다,recognize
상품,Goods
발견하다,Discover
달다,Sweet
측면,side
댁,House
평,Plain
다니,Dany
약속,promise
띠다,be charged with
통신,communication
예전,Previous
나름,depending on
백성,the people
해방,Liberation
인터넷,Internet
직원,employee
마디,word
어둡다,dark
맺다,form
선배,senior
전문,specialty
편하다,relaxing
갚다,pay back
노릇,Brown
반응,reaction
이야기하다,Talk
고통,pain
저렇다,Like that
기본,basic
예정,expected
달라지다,to be different
소문,rumor
읍,town
어떠하다,How
농사,farming
싸움,fight
즐기다,enjoy
단어,word
군대,army
밀다,Push
현대,hyundai
계시다,be there
첫째,first
맘,Heart
엄청나다,tremendous
중,middle
조정,adjustment
존재하다,Exist
일반적,In general
너무나,too
결혼하다,Get married
고등학교,high school
똥,poop
늘다,gain
사십,Fourty
경제적,economical
헌,Constitution
숨다,hide
발생하다,to occur
따위,et cetera
그렇지만,but
마저,Even
다가오다,to come closer
이끌다,lead
오전,morning
바닥,floor
목사,minister
도대체,why
다하다,fulfill
설화,tale
뉴스,news
거짓말,lie
모,what
제시하다,Present
걸음,step
각종,various
제사,ancestral rites
평화,peace
문장,sentence
편,side
종교,religion
경쟁,compete
마르다,dry
해외,Overseas
결정하다,decide
거리,distance
농민,Peasant
표현하다,Express
가끔,Once in a while
천만,10 million
관계자,Officials
이쪽,this way
깔다,lay
복,luck
원칙,rule
여행,Travel
철학,philosophy
까닭,reason
견디다,Endure
늘어나다,increase
해결하다,solve
민중,populace
갈등,conflict
지적하다,Point out
특징,Characteristic
건너다,to cross
한마디,one word
위치,location
체계,system
유지하다,maintain
그전,Before
벌어지다,Open
한,one
요소,Element
물어보다,ask
일찍,early
요구,request
검다,Black
감다,reel in
가을,autumn
유명하다,Famous
뿌리다,spread
총리,Prime Minister
곱다,pretty
치르다,pay
정,affection
켜다,turn on
별,star
베,hemp cloth
투쟁,fight
묶다,tie
여덟,eight
전,I'm
웬,wen
학자,Scholar
막히다,blocked
돌아보다,Turn around
불교,buddhism
파다,dig
시작,start
내년,next year
쇠,iron
대왕,maharaja
예쁘다,pretty
기구,machine
참여하다,participate
잘못,wrong
직,now
질서,law
급,class
곁,neighborhood
공사,construction
조상,Ancestor
업무,work
바치다,devote
업다,Upgrade
나아가다,go forward
고르다,Choose
장소,Place
대,big
겨우,barely
시골,countryside
아예,At all
빌리다,borrow
건강,health
아버님,father
가게,store
카드,card
살아가다,Live
의지,willpower
거두다,Reap
금방,soon
어제,yesterday
무역,Trade
이익,profit
탁,widely
종류,type
닭,chicken
하얗다,White
가,go
내밀다,hold out
암,cancer
점심,lunch
제공하다,Offer
덮다,cover
기에,Gi
기계,machine
대중,public
부장,Director
정확하다,Accurate
계속되다,Continue
피해,Harm
매일,everyday
채우다,Fill
심각하다,Serious
빌다,beg
미래,future
도리,duty
아무래도,Maybe
훌륭하다,excellent
서비스,service
에게서,From
역사적,classic
그치다,stop
큰일,Great work
뿌리,Root
두르다,borrow
먹이다,batten
는구나,Is it
손가락,finger
국어,Korean
어둠,darkness
내부,inside
장면,scene
탓,fault
속하다,Belong
기존,existing
이르다,early
정승,Jeongseung
관련하다,Relate
얘,Daunting
파,green onion
높이다,heighten
무릎,knee
색,color
옛,ancient
아무것,nothing
줄이다,Reduce
등장하다,appear
불리다,Call
반면,On the other hand
그러므로,therefore
성장,growth
드러내다,reveal
을,second
용,dragon
기대,Expectation
끼,talent
과제,assignment
깨닫다,realize
전문가,expert
바탕,background
되,become
독립,Independent
발표,Announcement
가,go
식사,meal
처리,process
건,case
누나,sister
마루,Floor
척,chuck
울리다,make cry
만일,if
직장,rectal
소년,boy
담,wall
어울리다,comport
보호,protect
주요,main
아무런,Any
터,place
한편,Meanwhile
정상,normal
대개,mostly
관련되다,It is related
어쨌든,anyway
전망,View
논리,logic
쭉,Straight
저런,That
거래,deal
도,do
퍼센트,percent
놀이,play
어허,Uh
주식,stock
춥다,cold
조치,action
포함하다,Comprise
가까이,closely
덜,Less
생각되다,Think
부족하다,lack
임금,wage
시집,divan
수단,Way
쓰러지다,Fall down
동물,animal
닿다,reach
남녀,Men and women
신라,Silla
살림,livelihood
영역,area
노조,Union
되,become
부담,Burden
떼,group
이튿날,the next day
건,case
지나치다,go too far
풀,grass
맨날,everyday
세대,Generation
쥐,mouse
밟다,to step on
전설,Legend
방침,policy
영,zero
비록,Although
열,Heat
노력하다,do the efforts
생,raw
끄다,turn off
아시아,Asia
계기,meter
계급,Classes
서양,Western
무렵,Around
사용되다,be used
자본,capital
어떡하다,What to do
부엌,kitchen
검사,test
총각,bachelor
수출,Export
폭,width
적다,little
쏟아지다,Pour out
고생,hardship
이웃,Neighborhood
판,board
온,On
땀,sweat
중,middle
충분히,enough
붉다,Be red
호텔,hotel
고려,Consideration
맑다,clear
적극적,active
맡기다,entrust
목숨,life
직업,job
진행되다,Proceed
한쪽,pair
하고,do
판단,judgment
구경,caliber
서로,each other
가난하다,poor
비싸다,expensive
구성,composition
더러,Even
맛있다,delicious
해결,solution
인기,popularity
가볍다,light
사항,matters
커다랗다,Big
불과하다,Only
군사,Military
깨다,wake up
굴,cave
여보,honey
추진하다,carry forward
단지,just
표,graph
솔직히,To be honest
꽤,fairly
가득,full
여사,Ms
희망,Hope
뜨겁다,hot
붓다,pour
부,wealth
종합,Synthesis
결론,conclusion
비용,cost
민간,Private sector
드라마,drama
등,etc.
죽,porridge
가구,furniture
감사하다,Thank
반갑다,nice to meet
평양,Pyongyang
뜯다,Tear off
틈,aperture
바깥,outside
모임,class
자르다,cut
여부,Whether
캐다,dig
썩,Rotten
약하다,weak
비판,Criticism
시간,hour
주인공,Hero
달리다,run
전자,former
깊이,depth
협력,Cooperation
흙,soil
바람,wind
가만,wait
공연,show
깎다,cut
논의,Argument
없애다,Delete
천천히,slowly
훈련,training
지,ji
숲,forest
배경,background
무겁다,heavy
따라가다,to follow
젊은이,young people
공,zero
독자,Reader
총,gun
논문,Paper
감추다,hide
상호,Mutual
뛰다,run
공무원,public official
확실하다,It is certainly
참여,Participation
