Korean,English
바둑,Baduk
대규모,Large-scale
덕분,thanks for
환상,fantasy
받치다,surge up
물음,question
신하,subject
향상,Improving
구분,division
오가다,come and go
차별,discrimination
인상,impression
풍부하다,Rich
고전,classic
개편,Reorganization
내각,cabinet
고리,ring
줄다,shrink
성장하다,Grow
습관,habit
위협,Threat
생선,fish
법적,Legal
무게,weight
적자,Deficit
연결하다,Interlink
의식하다,Conscious
제출하다,Submit
소수,decimal
척,chuck
곳곳,Everywhere
투표,vote
주목하다,pay attention
느리다,slow
일정,calendar
구르다,recoil
광장,Plaza
컵,cup
농담,Joke
흥,huh
알맞다,fit
실은,actually
적당하다,It is suitable
토대,foundation
다방,coffee house
더듬다,grope
또다시,Again
일방적,Unilateral
대국,Great power
명사,noun
재물,Wealth
팬,Pan
어색하다,It is awkward
작정,Conclusion
붓,brush
틀림없이,Must
글쎄요,I do not know
뒤따르다,beset
연주,play
교과서,textbook
영향력,Influence
디자인,design
신뢰,trust
생산하다,Produce
오해,misunderstanding
직전,eve
유교,Confucianism
떨어뜨리다,To drop
영원히,forever
경험하다,Experience
통화,call
동의,agree
홍보,promotion
각국,Nation
창작,Creation
절로,Versatile
노선,route
촬영,filming
생활하다,live
구절,paragraph
흔하다,common
실내,inside
집어넣다,Put in
감싸다,cover
화장,Makeup
결합,Combination
문화재,Cultural Heritage
통치,rule
질환,disease
밀리다,be shaved
천,cloth
겸,Cum
아픔,pain
기침,cough
유리하다,It is advantageous
식량,food
애정,Affection
권한,authority
참조,Reference
다투다,contend
가라앉다,Sink
발달하다,develop
수지,Suzy
개정,revision
파괴,Destruction
조약,treaty
못되다,Nail
늘어지다,Tap
꿀,honey
환하다,clear
끓다,boil
재무,finance
우유,milk
골짜기,valley
계절,season
찢다,tear
막상,Mak
껍질,skin
비난,criticism
철저히,thoroughly
식,ceremony
상인,merchant
노랗다,Yellow
흉내,mimicry
구분하다,divide
수천,Thousand
성분,ingredient
마땅하다,Deserve
홍콩,Hong Kong
정면,face
뱉다,disgorge
도입하다,Introduce
자꾸만,keeps on
가루,powder
양심,Conscience
검토,examine
대기,Waiting
연애,love
일자,Date
절대적,Absolute
공산당,Communist Party
국제적,International
부채,fan
별도,Separately
번역,translation
꼭대기,top
집행,Execution
마담,Madame
좌,Left
번지다,spread
회관,hall
가지,Branch
사원,employee
꿇다,Kneel
멀어지다,get further away
한문,Chinese
논쟁,arguement
다가서다,Approach
솔직하다,honest
지시하다,Instruct
해결되다,solved
돌보다,Take care
접하다,meet
자존심,Pride
자랑하다,Boast
비평,criticism
업종,Sectors
서부터,From the west
범인,criminal
끌리다,traipse
잘나다,Go well
부하,Load
후기,review
헤매다,wander about
한테서,from
활용,uses
바늘,needle
누이,sister
우연히,by chance
허공,Empty
합리적,rational
총회,General Assembly
물고기,fish
거부,denial
격,case
비서,secretary
비비다,rub
썰다,chop
의존하다,be dependent
거느리다,Be
펼쳐지다,Spread out
부인하다,Dismiss
거니와,Go
차다,cold
빠져나가다,Get out
햇살,sunlight
아울러,together
느니,Yes
풍기다,give out
확보,secure
토하다,vomit
프로,Pro
맞이하다,greet
근심,concern
육체,flesh
확대하다,to enlarge
결혼식,Wedding ceremony
보상,compensation
전반적,Overall
차츰,Gradually
일기,diary
감시,watch
만주,Manchuria
자세하다,Detail
채다,sense
숙제,homework
오리,duck
구입하다,Buy
보고하다,Make a report
여간,All
만족하다,Is satisfied
출발,depart
체,sifter
채권,bond
법칙,Rule
제국,Empire
호흡,Breath
자신,Myself
어음,note
인수,take over
보름,Fullness
얼음,ice
부치다,send
장비,equipment
안주,snack
협의회,Council
수화기,receiver
문헌,literature
여태,So far
발길,Footsteps
의심하다,Doubt
거절하다,reject
성인,adult
예상하다,expect
녀,woman
정월,New Year
바닷가,Beach
개성,Individuality
총무,General Affairs
각기,each
전개되다,Develop
햇빛,sunshine
주도하다,Lead
빌딩,building
당사자,party
사찰,Temple
진상,Truth
에미,Emmy
탈,mask
다수,many
해당,corresponding
평범하다,normal
낮추다,lower
헤아리다,Count
말없이,Silently
차다,cold
상당,Equivalent
정식,Formally
적용하다,apply
뭉치다,lump
촉구하다,Urge
님,sir
지난번,last time
명칭,designation
조국,motherland
저자,author
대안,Alternatives
높이,Height
합의하다,Agree
제조,Produce
무리,swarm
허용하다,permit
띄우다,ferment
연속,continuity
아무렇다,Be
휴가,vacation
민족주의,nationalism
희생,sacrifice
흘러가다,Flow
벌,punishment
막내,youngest
열쇠,key
뺨,cheek
베풀다,give
설립,establish
포함,include
동원하다,Mobilize
기여하다,Contribute
행동하다,Act
화살,arrow
더라면,If it is
건만,Only
강하다,strong
자랑,Boast
이내,Within
소파,Sofa
향기,Scent
질리다,to be sick of
목욕,bath
사망,Dead
고민하다,Be in agony
수비,defence
내려놓다,Put down
볼,cheek
감안하다,to consider
정치권,Politics
개국,Nation
농부,farmer
합,synthesis
둥글다,Round
등등,etc
실적,Performance
꼼짝,Tight
두려움,fear
손목,wrist
서,west
임원,Executives
도로,road
감옥,prison
포,pho
씌우다,sheathe
어리석다,stupid
치열하다,Fierce
추,weight
거짓,lie
트럭,truck
화해,Reconciliation
국방,Defense
국,soup
열차,train
성,castle
강아지,puppy
장점,Advantages
도덕적,Moral
추억,memory
불가피하다,Inevitably
민속,Folklore
로비,lobby
이해되다,Understand
첫날,First day
구먼,Gumen
가두다,confine
우산,umbrella
고문,torture
생존,survival
독재,Dictatorship
선비,Scholarship
대한민국,Republic of Korea
건드리다,Touch
간장,Soy sauce
파일,file
적용되다,Apply
탄생,birth
함,box
창조,creation
육성,Upbringing
겹치다,overlap
대신하다,It is instead
중년,middle-age
애초,In the first place
계산하다,Calculate
흑,Black
대원,Crew
곧바로,Right away
주문,order
안팎,Inside and outside
이탈리아,Italy
취미,hobby
천장,ceiling
구원,Salvation
꼬다,twist
시도,trial
도전,challenge
고교,High school
부사,adverb
진출하다,Enter
끼우다,insert
당당하다,confident
귀족,nobility
근원,Source
밥상,Table
가꾸다,Nurture
정원,garden
정작,Actually
깨끗이,clean
특이하다,strange
투자하다,Invest
대변인,spokesman
청산,clearing
매년,every year
위반,violation
자극,Stimulation
형상,shape
가난,poor
대응하다,react
무어,Moore
관리,management
바짝,Tight
부총리,Deputy prime minister
보람,Reward
의복,cloth
재단,Foundation
임무,mission
계열,line
도장,stamp
쓸쓸하다,I am lonely
관리하다,Administrate
명분,Justification
질병,disease
예외,exception
정지,stop
불행하다,Unhappy
의의,Of the
배다,conceive
떠나가다,Leave
부여하다,give
클럽,club
수염,mustache
아프리카,Africa
순경,cop
우리말,Korean
간단히,simply
남매,siblings
이룩하다,Be able to
포인트,point
확인되다,Confirm
이를테면,for example
극히,like mad
책임자,Officer
시행,enforcement
화가,artist
이리저리,back and forth
설마,no way
끊기다,Disconnect
속담,Proverb
인원,personnel
대접하다,entertain
운전,driving
텅,Tongue
요금,fee
다행히,Fortunately
묘하다,Be strange
금액,amount
확대되다,Enlarge
탁자,table
관료,bureaucracy
오랜만,Long time no see
결심,Determination
최대한,Most
농산물,Agricultural products
공학,Engineering
대리,deputy
지향,Orientation
실체,substance
실현,present
생물,Biology
이혼,divorce
제재,sanctions
선정,selection
짐작,guesswork
정기,Routine
동포,compatriots
작성하다,write
혜택,Benefits
상식,Common sense
전달,relay
외면하다,Turn away
단,only
사연,Story
굴다,behave
접어들다,Enter
그만하다,stop
그립다,Miss you
까맣다,Black
정상적,normal
부정하다,Denit
고함,shout
시청자,viewers
웬만하다,Maxim
대북,North Korea
지적,Point out
발견,discovery
세종,Sejong
축,axis
게끔,Crab
현금,cash
성적,sexual
장자,Firstborn
호기심,curiosity
모친,Mother -in -law
이빨,teeth
북경,Beijing
미처,Unprecedented
통화,call
요란하다,Loud
이별,farewell
통계,statistics
적용,apply
깨어나다,wake up
종업원,Employee
왕자,Prince
표,graph
동서,cohabitation
원고,Manuscript
갈라지다,to separate
저절로,By itself
설정하다,Set
감기,cold
하긴,but
치료하다,Treat
뻔하다,Be obvious
육군,Army
행사하다,Event
가치관,Values
우울하다,Depressed
고등,high
조명,light
자루,sack
반발,repulsion
아동,child
자신감,Confidence
상상하다,Imagine
가스,gas
자니,Jani
들려주다,Give
도달하다,Reach
고집,stubborn
그다지,very
제의,suggest
조처,Measure
한복,Han bok
수도,capital
근육,muscle
지구,earth
예방,prevention
어지럽다,dizzy
운동장,Playground
진술,declaration
노려보다,Look
판,board
빼앗기다,Steal
사기,scam
중요성,importance
드나들다,Go in and out
누님,sister
증언,Testimony
주주,Shareholder
아이디어,idea
범주,category
라면,Ramen
물러서다,Retreat
일가,household
제안,proposal
연설,speech
퍽,puck
방울,Bell
지속적,constantly
현관,entrance
교양,Culture
소프트웨어,software
여지,space
경력,career
표준,standard
차마,Chama
개구리,frog
해마다,year after year
부위,part
무늬,pattern
오래되다,Long time no see
영광,glory
보장하다,Vouch
유도하다,Induce
위치하다,to be placed
방면,direction
기도하다,Pray
차차,Graduating
그토록,So much
읍내,Town
앞세우다,Set up
비상,emergency
전선,wire
단독,single
왠지,Somehow
테이블,table
주석,Remark
남부,Southern
약물,drug
간신히,barely
분리,separation
태평양,Pacific ocean
예금,Deposit
대량,block
다듬다,trim
받들다,Support
논리적,Logical
취재,take
영장,warrant
도덕,moral
지지하다,support
많아지다,Increase
동경,east longitude
꼬마,Little
계집애,jane
공중,Public
분쟁,dispute
얽히다,get caught in
왈,Wall
변동,Variance
학부모,parents
제거하다,Remove
비난하다,blame to
기법,technique
예컨데,For example
자산,Assets
거꾸로,Backwards
수정,correction
무장,Armed
헤치다,Go through
소매,Sleeve
들판,Field
요즈음,these days
오류,error
병력,case history
취업,Employment
인간적,Human
반하다,fall in love
단단히,firmly
첨단,peak
편리하다,convenient
정말,really
꿈꾸다,Dreaming
인근,vicinity
요원,agent
부패,Corruption
채널,channel
계곡,Valley
선언하다,declare
대결,Battle
베트남,Vietnam
개입,Intervention
호소하다,give appeal
경계,boundary
치고,Hitting
무려,whopping
빌다,beg
섭섭하다,feel dissapointed
가늘다,Thin
상,award
북방,northward
돋다,Sprouting
동맹,alliance
설계,design
마당,yard
임신,Pregnant
농구,basketball
더욱이,Furthermore
짖다,bark
가득하다,full in here
신념,belief
간판,Sign
광경,scene
까마귀,Crow
동화,Fairytale
여편네,The woman
불쑥,suddenly
지급,Payments
실무,Practice
출입,coming and going
실시되다,Be carried out
비극,tragedy
벤처,Venture
속다,get deceived
접시,Dish
상업,Commerce
워싱턴,Washington
마음속,In the heart
대륙,continent
씌다,Cover
한창,In full swing
부러지다,Break
깨우다,wake up
응하다,meet
도전하다,Challenge
독서,Reading
체육,Athletic
가요,Go
퍼붓다,fulminate
통상,Normal
해내다,accomplish
집회,assembly
향,incense
책임지다,Vouch
상가,store
춤추다,to dance
실로,Thread
앞장서다,Lead
타인,Others
일정,calendar
시즌,season
보편적,Universal
안쪽,inside
마무리,Wrap-up
어쩐지,no wonder
가설,theory
공식적,Formal
사용자,user
안내,guide
뚜껑,Lid
떠돌다,float
취지,effect
제공,offer
통증,ache
점잖다,Slack
우승,Championship
그제서야,Only then
부작용,Side Effect
비단,silks
통과,Pass
항목,Item
호수,lake
주도,lead
울타리,fence
표시하다,Denote
전개,deployment
패,group
말투,speech
관행,Practice
두들기다,Beat
황금,Gold
변화하다,Change
테러,terror
합하다,fit
의지하다,Rely
긴급,Emergency
은근히,Quietly
초반,Initial
강사,teacher
되찾다,get back
쳐들다,Rush
온도,temperature
맥락,Context
심의,Review
굴리다,tumble
날로,Day by day
시행하다,Enforce
초래하다,Redound
메우다,fill up
증시,Stock market
입학,Admission
각자,Each
굽히다,bend
굳어지다,Harden
공격하다,attack
휘두르다,wield
진영,Camp
대외,External
방송국,Broadcast stations
칭찬,compliment
사회학,sociology
적히다,Beeted
과정,process
자동,automatic
뛰어가다,Run
자율,autonomy
닫히다,shut
차관,loan
공산주의,communism
재빨리,quickly
끌려가다,Drag
걸어오다,Walk
세다,count
해안,Coast
협조,Cooperation
발표되다,Announce
이상,More than
감자,potato
승부,Game
묶이다,knot
데려가다,take
여럿,many
부도,bankruptcy
출판,Publishing
일일이,Daily
하필,False
중반,Middle
단속,Enforcement
규범,canon
왕조,dynasty
정당하다,Be justified
괴롭히다,bully
죄인,sinner
매달다,suspend
반도체,semiconductor
궁극적,Ultimate
지사,Branch
달빛,Moonlight
결심하다,Decide
관찰하다,Observe
공개하다,Open to the public
체질,constitution
매력,Charm
선두,head
심리적,Psychological
털어놓다,Confuse
교섭,bargaining
구호,Aid
흥,huh
통과하다,Pass
엄격하다,strict
중세,Middle Ages
포로,Captive
구상,conception
피해자,victim
파랗다,Blue
현행,Present
희미하다,Faint
전반,Overall
설치되다,Install
올려놓다,put on
신당,Shrine
조성,Furtherance
대처하다,Cope with
주방,kitchen
찢어지다,Tear
거듭,Repeatedly
동의하다,Agree
머리카락,hair
시야,eyesight
연간,yearly
아비,father
잇따르다,Run
양복,suit
돌멩이,Stone
중단,stop
신청하다,Put in for
영원하다,Forever
피아노,piano
사무,Affairs
정문,Front Door
청소,clean
대한,About
동굴,cave
성향,tendency
반복하다,repeat
유전자,gene
작자,Writer
수행,Perform
두껍다,thick
뻔하다,Be obvious
투기,speculation
올라서다,Climb
전개하다,Develop
차장,conductor
무료,free
물러가다,Retreat
거니,Go
확산,diffusion
어조,tone of the voice
처벌,punishment
감소,decrease
고시,notice
보물,treasure
상무,director
숨지다,Hide
연말,Year-end
인재,Human Resources
절망,despair
연구원,researcher
고장,broken
추위,cold
무관하다,Irrelevant
열기,Heat
골프,golf
요령,tips
참가,attend
별다르다,Different
신문사,newspaper
부서,Department
주고받다,give and take
선원,sailor
확장,expansion
국토,soil
수용,Accept
넓히다,widen
농가,farmhouse
막연하다,Vague
국방부,Department of Defense
조작,Operation
절대,never
중단하다,Stop
흐리다,cloudy
자연히,naturally
구하다,save
인형,doll
노예,slave
과자,snack
고유,inherence
감사,thank
충돌,crash
각자,Each
외국어,Foreign language
주년,Anniversary
과학자,Scientist
전면,Front
회복하다,to recover
꼭,please
시조,father
고추,pepper
기념,Commemoration
조항,article
사과,apologize
시중,city
주목,fist
최후,last
수립,establish
종목,event
실천하다,practice
평등,Equality
내면,Inside
별명,Nickname
보건,Health
흑인,black
지극히,Extremely
육지,shore
본질적,Essential
낯,face
화장품,cosmetics
우려하다,Be concerned about
리그,League
홍수,flood
방위,defense
사이트,site
오로지,only
성적,sexual
가로,width
잦다,often
수영,swimming
손톱,Fingernail
어긋나다,Displace
품목,subject
가짜,fake
흘러내리다,Run down
월말,At the end of the month
두려워하다,to be afraid of
만족,satisfied
맛보다,taste
빛깔,color
미국인,American
우선,priority
정체,Identity
표면,surface
북,north
승인,Approval
흥분,excitement
미워하다,Hate
간직하다,to keep
허락하다,Permit
구축하다,Rid
해당되다,Decide
회계,Accounting
행정부,executive
중동,Middle East
꺼리다,scruple
갖가지,Various
즐거움,joy
외환,Foreign exchange
부실,concubine
품질,quality
불행,Unhappiness
설정,Set
기세,momentum
순위,ranking
충동,impulse
섬유,fiber
소지,Possession
출판사,publisher
기호,sign
우수하다,great
귀국하다,Return home
편집,edit
보수,repair
부지,Site
이론적,Theoretical
번쩍,Flash
딸리다,Put up with
낚시,fishing
집권,Ruling
사법,justice
부서지다,break
기색,ground color
시각,Time
넉넉하다,Enough
모여들다,Gather
주한,Agent
어기다,violate
뒤늦다,Be late
거들다,assist
끼이다,Stack
얼핏,At first glance
입맛,taste
비키다,Nickle
활성화,activate
머릿속,Head
깃발,flag
섬기다,serve
고속도로,highway
대폭,Drasticity
대개,mostly
명제,proposition
고도,Altitude
멎다,Stop
미사일,missile
장애인,Disabled
무속,Shamanism
보태다,Add
모스크바,Moscow
지나치다,go too far
사과,apologize
발상,Idea
가입하다,join
장르,genre
교훈,Lesson
냉장고,refrigerator
적합하다,Suitable
쿠데타,Coup d'etat
뒤쪽,behind
한데,One
먹이,food
발행,publish
지정,appointed
위성,satellite
종교적,Religious
중생,Rebirth
튀어나오다,pop up
확신,assurance
군중,crowd
결과적,Consequent
수도권,Metropolitan area
일치하다,Coincide
쪽,side
인격,personality
종종,often
장식,decoration
매장,store
라운드,round
긴장하다,nervous
거세다,Rage
냉전,cold war
선장,Captain
채,stick
정국,jungkook
의욕,Will
흥분하다,Excite
앞서,previously
후손,descendant
상상력,imagination
명단,list
사형,execution
지주,landlord
고장,broken
각오,Resolution
어젯밤,yesternight
만물,All things
물체,object
유사하다,similar
장기적,Long -term
진전,development
저서,Book
계통,system
태풍,Typhoon
연관,Relation
한층,even
당분간,for now
지성,Intelligence
지도,map
나뉘다,Divide
수익,revenue
얇다,thin
매매,Trading
공직자,Public official
등급,Rating
바퀴,wheel
독자적,Independent
계열사,subsidiary
홈런,homer
제기,Raising
라도,Rado
힘쓰다,Strive
지속되다,continue
도쿄,Tokyo
공연히,vainly
안전하다,safe
진심,Sincerity
디지털,digital
보증,guarantee
명확하다,Clarify
속성,property
학위,degree
험하다,Rug
이사장,Chairman
예술가,artist
인공,art
대강,outline
활짝,Bold
사안,Issue
일선,Frontline
갈래,Shall we go
전적,Overall
식다,cool down
이어서,next
경제학,economics
법안,bill
유난히,Unusually
학술,Academic
길가,roadside
흘러나오다,Flow out
감당하다,Handle
연맹,Federation
그중,among them
부상,injury
장차,In the future
지분,share
비서실,Secretary
꾸준히,Steadily
업적,Achievements
사상,thought
탄생하다,Be born
기록되다,Record
개미,ant
미인,Beauty
방지,Prevention
전원,power
방바닥,Floor
앞뒤,Back and forth
한가운데,midst
다짐하다,Pledge
분류,classification
발자국,footprint
선보이다,Show off
보조,assistant
특수하다,Special
병들다,Be sick
풍속,Wind
모처럼,Likely
결,texture
내쉬다,exhale
시리즈,series
유치원,kindergarden
잠자다,sleep
당대,Contemporary
이달,This month
결의,resolution
단장,leader
미디어,media
조절,control
서명,signature
무용,dancing
침략,aggression
고용,employ
햇볕,Sunshine
지향하다,It is oriented
적당히,Moderately
상당수,Many
스페인,Spain
살아남다,Survive
튼튼하다,strong
기적,miracle
공천,Nomination
공단,satin
위로하다,console
바로잡다,Straighten
유치,inducement
사냥,hunt
군,army
뽑히다,Pull out
만만하다,Be full
딱하다,Be perfect
메시지,message
곧장,right away
건설하다,Build
해군,Navy
깨물다,bite
양자,quantum
초조하다,Be nervous
밀리다,be shaved
한일,Korean -Japanese
창조하다,Create
학회,Academy
뒷모습,back
의례,ceremony
수표,check
안정되다,Stabilize
카페,cafe
고작,Only
타격,damage
설득하다,Persuade
즉각,Immediately
연령,age
선전,propaganda
제도적,Institutional
머뭇거리다,waver
증세,Symptoms
정상,normal
분열,split
놀리다,Badinage
지껄이다,Jab
뱃속,Stomach
성당,Cathedral
현안,Issue
꾸리다,manage
줄곧,All the time
주의하다,pay heed to
선조,ancestor
삼국,Three Kingdoms
벌레,bug
전국적,Nationwide
대표하다,to represent
어리다,young
되풀이하다,Repeat
후자,the latter
표시,mark
항의,protest
영문,English
중위,medium
가닥,piece
서민,people
록,rock
제약,Restrictions
구도,ninth
목록,List
해체,Dismantling
부수다,Break
출연하다,Appear
지침,guideline
알아내다,to find out
비타민,vitamin
변경,change
채택하다,choose
물리치다,To defeat
구조적,Structural
표시,mark
전화기,cellphone
대비,prepare
면적,area
말기,last period
구별하다,Distinguish
천사,angel
가르침,teaching
유행,trend
음모,plot
완화,ease
기뻐하다,I am happy
똑바로,upright
효율,efficiency
일찍이,early
번갈다,Turn
초청,invitation
분기,quarter
생생하다,Vivid
맺히다,Conclude
강요하다,Compel
유적,ruins
근로,Work
취급하다,deal with
신사,Gentleman
체계적,Systematic
오락,game
일상적,Everyday
조정하다,Mediate
정세,state of affairs
요건,Requirements
발걸음,footfall
확산되다,Spread
관세,Customs
끔찍하다,It is horrible
순환,cycle
심판,Referee
용서,Forgiveness
액수,Amount
껴안다,snuggle
국경,Border
답하다,Answer
수치,shame
등지,Back
지급하다,Pay
불길,Flame
신학,theology
묘사하다,Depict
장미,rose
반성,regret
실망,Disappointment
쫓겨나다,Kicked out
소음,noise
일시,date
체면,face
요구되다,Require
처분,disposal
몸뚱이,body
빠져나오다,Exit
평,Plain
전시,exhibition
공급하다,Supply
끌어들이다,Drag
젖히다,fling open
뇌물,bribe
성공적,successful
발목,Ankle
국세청,revenue
정계,Politics
항공,Airline
국무,State affairs
몰려들다,Flock
효율적,efficient
방해,Hindrance
구축,build
장악하다,Take control
소화,digestion
비판적,Critical
의상,costume
홈페이지,home page
고비,Hump
붕괴,collapse
사납다,Fierce
담임,Homeroom
구별,Distinction
핑계,excuse
순수,pure
이따금,sometimes
이동하다,move
제국주의,Imperialism
코스,course
기울다,slant
변수,variable
비전,vision
원형,circle
재능,Talent
참모,staff
늘어놓다,Bind
송이,cluster
캄캄하다,Darken
기원,origin
특유,Peculiarity
문학적,Literary
영양,nutrition
제치다,Beat
우정,friendship
조성하다,Build
엿보다,watch for
소망,hope
다면서,Daunting
거듭하다,Repeat
위상,Phase
판매하다,sell
범하다,commit
가상,email
경비,security
좌석,seat
뚫리다,Pierce
설비,equipment
마늘,garlic
장터,Marketplace
본사,head office
식탁,table
신음,moaning
뿌리치다,Root
후회하다,Regret
전용,private
구속되다,Restrain
그리스,Greece
적시다,soak
한결,Union
여느,Any
조정,adjustment
증명하다,Prove
고이다,Go
탄압,Oppression
유리창,sash
생애,career
쏠리다,Tight
개별,Individual
회의,meeting
자랑스럽다,proud
고려,Consideration
중시하다,Emphasize
모색하다,Find
강도,burglar
배제하다,Exclude
참고,Reference
섹스,sex
전화번호,Phone number
마비,paralysis
안기다,Embrace
단단하다,hard
추적,Tracking
원숭이,monkey
산하,Affiliation
제시되다,Present
연출,Production
불러일으키다,Rush
홀,hall
고통스럽다,Painful
처방,Prescription
큰소리,Loud
개최,Hold
중대하다,Be serious
유권자,voter
여권,passport
국면,conjuncture
풍토,Climate
부품,part
동정,Sympathy
프로젝트,project
보급,supply
자질,endowment
날아오다,Fly
성실하다,Sincerely
사슴,deer
투자자,investor
따름,Insecure
정착,Settlement
소설가,novelist
교역,Trade
해치다,injure
지루하다,Bored
소유하다,own
선진,Advancement
신도,Believer
자문,advice
이민,immigrant
가로막다,Intercept
일반인,General
마약,drug
잠자리,dragonfly
사령관,Commander
심리학,psychology
서술,Description
세미나,seminar
이듬해,The following year
호주,australia
새삼,Ginseng
교체,substitute
도리어,Row
전신,whole body
불꽃,flame
사로잡히다,Capture
사적,Private
일련,series
구성원,member
찌푸리다,Frown
존경하다,Respect
실태,Actual situation
손실,Loss
전형적,Typical
반복,repeat
깊이,depth
부지런히,industriously
캐나다,Canada
톤,ton
대금,price
유명,famous
중단되다,Stop
이대로,like this
자라나다,Grow
민감하다,be sensitive
초라하다,Be shabby
간접,Indirect
열정,enthusiasm
대치,Confrontation
재계,financial world
군부,Military service
수입,income
서부,West
파악,grasp
상실하다,Lose
고정,fix
세트,set
개선하다,improve
도서,books
인정되다,Recognize
절실하다,Desperate
모집,Recruitment
더위,hot
의논하다,to discuss
실현하다,Realize
빼내다,pilfer
내뱉다,spit out
문인,Writer
초,candle
표현되다,Express
시신,corpse
결단,resolve
원자력,nuclear power
전후,order
묘사,describe
재야,Jay
데이터,data
경찰관,police officer
대비,prepare
이용되다,Use
유물,relics
찍히다,Be taken
개발되다,Develop
주차장,parking lot
사막,desert
존중하다,respect
안심하다,Reassured
임기,term of office
완성되다,Finish
성적,sexual
염두,In mind
슬그머니,Sneak