Korean,Polish
오,pięć
이,ząb/zęby
아우,młodsze rodzeństwo
아기,dziecko
오이,ogórek
구두,buty (eleganckie)
다리,"nogi, noga / most"
라디오,radio
고기,mięso
나,ja (mniej oficjalnie)
저,ja (oficjalnie)
어머니,matka
바보,głupek
다,wszystko
소리,dźwięk
마시다,pić
지도,mapa
자,trzymaj
모자,czapka
가수,piosenkarz
나무,drzewo
머리,"głowa, włosy"
바나나,banan
바지,spodnie
소,krowa
아이,dziecko
아버지,ojciec
허리,talia
지하,podziemie
야구,basketball
야자수,palma
이야기,rozmowa
여자,kobieta
남자,mężczyzna
벼,ryż (roślina)
혀,język
요가,joga
요리,gotowanie
교수,profesor
유리,szkło
휴지,"husteczki, papier toaletowy"
우유,mleko
우리,"nasz, nasze"
거미,pająk
다리미,żelazko
나라,kraj
누구,"kto, ktoś"
비누,mydło
버스,bus
사자,lew
소나무,sosna
자주,często
호수,jezioro
바구니,"kosz, koszyk"
보기,patrzenie
보다,patrzeć
나리,"panie, lilia"
카드,karta
코,nos
키,wzrost
타조,struś
토마토,pomidor
투우사,torreador
파리,"paryż, mucha"
포도,winogrono
우표,znaczek
차,"herbata, samochód"
치마,spódniczka
고추,ostra papryczka gochu
커피,kawa
코트,płaszcz
기차표,bilet na pociąg
소파,sofa
피,krew
코피,krew z nosa
추석,Chuseok
까치,sroka
꼬리,ogon
코끼리,słoń
따다,zbierać
뜨다,"pływać, unosić się"
머리띠,opaska na włosy
뿌리,korzeń
뼈,kość
아빠,tata
싸다,być tanim
쓰다,pisać
아저씨,starszy pan
아주머니,starsza pani
아줌마,starsza pani
짜다,być słonym
찌다,gotować na patze
가짜,fałszywka
뽀뽀,buziak
아파,boli
아프다,boleć
개미,mrówka
배,"gruszka, brzuch, statek"
새,ptak
해,słońce
새소리,ćwierkot ptaków
게,krab
세수,mycie twarzy
그네,huśtawka
카메러,kamera
얘기,rozmowa
예쁘다,być pięknym
서예,kaligrafia
시계,zegar
과자,przekąska
와이셔츠,koszula
화가,malarz
사과,"jabłko, przeprosiny"
뭐,co
줘요,dawać coś
더워요,gorąco
추워요,"gorąco mi, jest gorąco"
돼지,"zimno mi, jest zimno"
왜,czemu (swobodnie)
왜요,czemu (oficjalnie)
네,tak (swobodnie)
예,tak (oficjalnie)
웨이터,kelner
스웨터,sweter
쇠고기,mięso z krowy
외우다,uczyć się (na pamięc)
회사,firma
두뇌,mózg
귀,ucho
쉬다,odpoczywać
쥐,mysz
가위,nożyce
바위,kamień
보,papier
위,na górze
아래,na dole
의사,lekarz
의자,krzesło
회의,spotkanie
희망,nadzieja
고마워요,dziękuję
벽,ściana
부엌,kuchnia
밖,dwór
눈,"oko, śnieg"
곧,"wkrótce, niedługo"
밑,na dole
옷,ubrania
낮,dzień
꽃,kwiat
히응,litera h
달,"miesiąc, księżyc"
곰,niedźwiedź
집,dom
잎,liść
방,pokój
이응,litera yng
산,góra (tatry np.)
물,woda
삼,trzy
공,piłka
수박,arbuz
책,książka
돈,pieniądze
레몬,cytryna
신문,gazeta
우산,parasol
빗,grzebień
빛,światło
딸기,truskawka
발,stopa
연필,ołówek
엄마,mama
컴퓨터,komputer
밥,"posiłek, ugotowany ryż"
쌀,ryż w ziarenkach
입,usta
무릎,kolano
숲,las
가방,torba
냉장고,lodówka
창문,okno
안녕하세요,dzień dobry
만나서,poznać
반가워요,miło
안녕히 계세요,do widzenia (osoba która odchodzi)
안녕히 가세요,do widzenia (osoba która zostaje)
모래,piasek
버섯,grzyb
문,drzwi
배우,aktor
폴란드,Polska
영일,Wlk. Brytania
한국,Korea Południowa
중국,Chiny
일본,Japonia
미국,USA
독일,Niemcy
호주,Australia
프랑스,Francja
한국어,j. koreański
영어,j. angielski
선생님,nauczyciel
회사원,pracownik firmy
기자,dziennikarz
의사,lekarz
가수,piosenkarz
학생,uczeń
요리사,kucharz
군인,żołnierz
주부,gospodyni domowa
인도,Indie
국적,narodowość
이름,imię
직업,zawód
여러분,"wszyscy, proszę państw"
부엇,co (oficjalnie)
무엇입니까?,co to jest (oficjalnie)
직업은 무엇입니까?,jaki masz zawód (oficjalnie)
러시아,Rosja
파키스탄,Pakistan
전화번호,numer telefonu
명함,wizytówka
내 소개,moja prezentacja
책상,biurko
공책,zeszyt
연필,ołówek
불펜,długopis
지우개,gumka do ścierania
사전,słownik
신문,gazeta
휴대폰,komórka
핸드폰,komórka
안경,okulary
우산,parasol
남친,chłopak (związek)
여친,dziewczyna (związek)
있다,"mieć, być"
없다,"nie mieć, nie być"
동전,moneta
동전노래방,karaoke na monety
노래,piosenka
은행원,pracownik branku
폐,płuca
지혜,mądrość
잡지,czasopismo
지갑,portfel
전자사전,słownik elektroniczny
자,linijka
한국어로,po koreańsku
사탕,cukierek
교통 카드,karta miejska
사이다,gazowane napoje cytrusowe
여기 있어요,"proszę, trzymaj"
자,trzymaj
좀,proszę
주스,sok
콜라,cola
하고,i
아들,syn
텔레비전,telewizor
에이컨,klimatyzacja
선풍기,wiatrak
양복,garnitur
손님,"gość, klient"
영화,film
학교,szkoła
대학교,uniwersytet
제,moje
서울대학교,Seoul National University
침대,łóżko
룸메이트,współlokator
손,dłoń
소반,stolik jednoosobowy
부인,żona
경찰,policjant
지금,teraz
오늘,dzisiaj
이따,później
주만,weekend
잡다,"złapać, chwytać"
살다,"żyć, mieszkać"
가르치다,uczyć kogoś
잘 자요,śpij dobrze
앉다,siadać
어디,gdzie
전화하다,dzwonić
시장,targ
집,dom
식당,restauracja
학생 식당,stołówka szkolna
극장,"teatr, kino"
도서관,biblioteka
커피숖 / 카페,kawiarnia
회사,firma
공원,park
백화점,centrum handlowe
자다,spać
운동하다,uprawiać sport
공부하다,uczyć się
일하다,pracować
숙제하다,odrabiać pracę domową
옷을 사다,kupować ubrania
영화를 보다,oglądać film
친구를 만나다,spotykać znajomych
태권도를 배우다,uczyć się taekwondo
밥을 먹다,jeść posiłek
커피를 마시다,pić kawę
책을 읽다,czytać książkę
피자,pizza
아르바이트하다,pracować na pół etatu
드라마,drama (TV)
그럼,więc
스포츠 센터,centrum sportowe
언어,język
책방,kawiarnia + czytelnia
만화방,kawiarnia z manhwą
찜질방,sauna
빨래방,pralnia
빨래,pranie
공항,lotnisko
우체국,poczta
대서관,amabasada
은행,bank
가게,sklep
슈퍼마컷,supermarket
약국,apteka
약,lek
병원,szpital
미용실,fryzjer
오다,"przyjeżdżać, przychodzić"
가다,"iść, jechać"
컨서트,koncert
맛있다,być smacznym
그리고,"następnie, potem"
청소하다,sprzątać
빨래하다,robić pranie
좋아하다,lubić
비빔밥,bibimbap
불고기,bulgogi
스파게티,spaghetti
오렌지,pomarańcz
눅차,zielona herbata
날씨,pogoda
따뜻하다,być ciepłym
재미있다,być interesującym
재미없다,być nieinteresującym
아주,bardzo
정말,naprawdę
진짜,naprawdę
맛없다,być niesmacznym
입다,ubierać się
내일,jutro
싸다,być tanim
복잡하다,być zatłoczonym
비싸다,być drogim
매일,codziennie
일,dzień
교실,sala lekcyjna
필통,piórnik
앞,"przed, z przodu"
옆,"obok, przy"
뒤,"za, z tyłu"
안,w środku
위,"na górze, nad"
아래 / 밑,"pod, na dole"
찻집,herbaciarnia
시내,śródmieście
구경하다,zwiedzać
쇼핑하다,robić zakupy
연극,sztuka teatralna
서울,Seul
오른쪽,prawo
왼쪽,lewo
잘지내다,mieć się dobrze
기숙사,akademik
사진,zdjęcie
그,"ten, ta, to"
반,klasa (ludzie)
사랑하다,kochać
휴지통,kosz na śmieci
칠판,tablica szkolna
알다,"wiedzieć, znać"
잘 지내요,mieć się dobrze
서점,księgarnia
빵집,piekarnia
화장실,toaleta
음식,jedzenie
기념품,pamiątka
그림,"obrazek, obraz"
공,zero
일,jeden
이,dwa
삼,trzy
사,cztery
오,pięć
육,sześć
칠,siedem
팔,osiem
구,dziewięć
십,dziesięć
백,sto
천,tysiąc
만,dziesięć tysięcy
월요일,poniedziałek
화요일,wtorek
수요일,środa
목요일,czwartek
금요일,piątek
토요일,sobota
일요일,niedziela
주만,weekend
무슨,"jaki, który"
며칠,jaka data
시험,test
언제,kiedy
생일,urodziny
어제,wczoraj
파티,impreza
가족,rodzina
시간,czas
미안하다,przepraszam
약속,"obietnica, być umówionym"
같이,razem
함께,razem
선물,prezent
세수하다,myć twarz
이를 닦다,myć zęby
거기,tam
사진을 찍다,zrobić zdjęcie
혼자,samemu
산책하다,spacerować
과,rozdział
페이지,strona (np. w książce)
층,piętro
밸런타인데이,walentynki
졸업식,ceremonia ukończenia szkoły
졸업하다,kończyć szkołę
결혼식,ceremonia zaślubin
결혼하다,brać ślub
고향,miasto rodzinne
스트레스,stres
스트레스 받다,stresować się
스트레스 풀다,rozwiązywać stres
음악을 듣다,słuchać muzyki
음악을 들어요,słuchać muzyki
오후,po południu
웃다,śmiać się
입다,ubierać się
케이크,ciasto
빨리,szybko
타다,"wsiadać, jechać"
말을 타다,jeździć konno
번,numer
몇 번,jaki numer
혹시,"może, przypadkiem, przez przypadek"
잠깐만요,przepraszam…
맞아요,"tak, racja"
고마워요,dziękuję
아니에요,nie ma sprawy
그런데,"ale, jednakże"
월,miesiąc
그때,"wtedy, tego dnia"
식사하다,jeść
음력,księżycowy kalendarz
양력,zwykły kalendarz
축하합니다,gratulacje
생일 축하합니다 (생축),wszystkiego najlepszego
자난주,zeszły tydzień
이번주,ten tydzień
다음주,przyszły tydzień
지난달,zeszły miesiąc
이번달,ten miesiąc
다음달,przyszły miesiąc
작년,zeszły rok
올해,ten rok
내년,przyszły rok
띠,znak zodiaku
쥐,"mysz, szczur"
소,bawoł
호랑이,tygrys
토끼,królik
용,słońce
뱀,wąż
말,koń
양,owca
원숭이,małpa
닭,"kurczak, kogut"
개,pies
돼지,świnia
튼튼하다,być silnym
성실하다,być wiernym
소심하다,być nieśmiałym
후하다,być szczodrym
힘이 많다,mieć dużo siły
많이,dużo (przym.)
똑똑하다,być mądrym
친절하다,być miłym
솔직하다,być szczerym
마음이 좋다,mieć dobre serce
성격,charakter
태어나다,narodziny
마음,serce
사랑에 빠지다,zakochać się
힘들다,"trudne, ciężkie"
느낌,uczucie
가지다,"mieć, posiadać"
특별하다,być wyjątkowym
불안정하다,być niespokojnym
성탄절 / 그리스마스,święta bożego narodzenia
천사,anioł
산타 하라버지 / 산타 크로스,święty mikołaj
루돌프,rudolf
순록,renifer
눈,śnieg
첫눈,pierwszy śnieg
눈이 오다,pada śnieg
눈이 내리다,pada śnieg
고백,wyznanie miłości
눈송이 / 눈꽃송이 / 눈꽃,płatek śniegu
고백하다,wyznawać miłość
크리스마스 트리,choinka
부부,para (ludzie)
별,gwiazda
겨울,zima
소원,życzenie
종,dzwonek
눈사람,bałwan
홍차,"herbata czarna, czerwona"
쿠키,ciastko
유자차,herbata cytrynowa
샌드위치,kanapka
치킨,kurczak
외식하다,jeść poza domem
지하철 역,stacja metra
근처,okolica
탁자,"stół, stolik"
년,rok
요일,dzień tygodnia
주,tydzień
야채,warzywa
과일,owoce
열심히,pilnie
면,makaron
라면,ramen
햄버거,hamburger